longitude;latitude;Road name;Culvert material;Overall condition;Height (in.);Width (in.);Length (ft.);Culvert type
-72.691753378;43.457397517;PETTINER HILL RD;Steel Corrugated;Excellent;24;24;34;Round
-72.875979535;43.108920162;PIKE FALLS RD;Plastic Smooth;Excellent;18;18;0;Round
-72.024128414;44.474494301;STARK DISTRICT RD;Steel Corrugated;Good;15;15;38;Round
-72.495668306;44.123110216;ADAMS RD;Plastic Corrugated;Good;24;24;40;Round
-72.065663458;44.063925038;MOORE HILL RD;Steel Corrugated;Critical;12;12;40;Round
-72.543244606;43.456273646;TYSON RD;Steel Corrugated;Good;18;18;35;Round
-72.122244398;44.310230364;W BARNET RD;Plastic Corrugated;Excellent;18;18;60;Round
-72.455471496;44.423303408;CRANBERRY MEADOW RD;Steel Corrugated;Good;15;15;35;Round
-73.350429767;43.711483727;LAKE RD;Steel Corrugated;Good;15;15;20;Round
-72.981194627;44.608630988;OLD NUMBER ELEVEN RD;Steel Corrugated;Fair;16;16;20;Round
-72.607062045;44.015620536;OLD STAGE RD;"Pipe, Metal";Fair;16;16;30;Unknown
-72.747104893;43.076980108;RIVER RD;Plastic Smooth;Excellent;18;18;20;Round
-73.143128;43.414942;LAMB HILL RD;Plastic Smooth;Good;15;15;35;Round
-71.876318249;44.825030498;MOUNTAIN ST;Plastic Smooth;Good;18;18;30;Round
-72.562680675;43.579486371;FLETCHER HILL RD;Concrete Sectional;Good;48;184;26;Box
-72.538042305;43.105269774;WESTMINSTER WEST RD;Concrete Sectional;Good;18;18;61;Unknown
-72.92903009;43.63509053;ORCHARD RD;Plastic Corrugated;Unknown;18;18;20;Round
-73.195209835;42.819567751;STROHMAIER RD;Steel Corrugated;Fair;18;18;34;Round
-71.889133465;44.598243969;PINKHAM RD;Steel Corrugated;Good;12;12;32;Round
-72.290398464;44.691120646;ANDERSONVILLE RD;Steel Corrugated;Good;12;12;20;Round
-72.710619979;44.504638623;WEEKS HILL RD;Plastic Corrugated;Good;18;18;25;Round
-72.13890071;43.995191062;MINK HL;Steel Corrugated;Good;24;24;40;Round
-72.720831482;44.078490124;SULLIVAN HILL RD;Plastic Corrugated;Good;18;18;30;Round
-72.025162204;44.584626522;OLD COACH RD;Steel Corrugated;Poor;0;0;20;Round
-72.157229338;44.338230892;THADDEUS STEVENS RD;Steel Corrugated;Good;24;24;40;Round
-72.438734982;43.638422325;TAFT FAMILY RD;"Pipe, Plastic";Good;15;15;40;Round
-73.001642983;44.386539191;GRANDVIEW DR;Plastic Corrugated;Good;18;18;30;Round
-73.201462526;42.776212947;MASON HILL RD N;Plastic Smooth;Good;18;18;30;Round
-72.421624138;44.195044865;BISSON RD;Steel Corrugated;Good;15;15;40;Round
-72.233188999;44.526461795;SKUNK HOLLOW RD;Steel Corrugated;Fair;15;15;30;Round
-72.725129456;44.359269883;GUPTIL RD;Steel Corrugated;Poor;24;24;70;Round
-72.725050592;43.344574258;ANDOVER RD;Steel Corrugated;Good;24;24;34;Round
-72.196234659;44.638184899;PAGE PL;Steel Corrugated;Fair;12;12;28;Round
-72.983871632;44.699760571;HUNTVILLE RD;Steel Corrugated;Good;15;15;50;Round
-73.162721563;42.964762576;WAITE CEMETERY RD;"Aluminum, wrought iron, or cast iron";Poor;24;24;32;Round
-72.802367043;44.185879835;CROSS RD;Aluminum Corrugated;Excellent;24;24;40;Round
-72.609883209;43.625685484;PHELPS RD;Steel Corrugated;Fair;15;15;30;Round
-73.045999;43.76343;HAWK VIEW RD;Plastic Smooth;Good;15;15;25;Round
-72.371771094;44.504284051;CHERRY ST;Steel Corrugated;Good;24;24;100;Drop Inlet
-71.90467845;44.594957095;ORCHARD RD;Steel Corrugated;Good;48;48;55;Round
-72.34751828;44.094907799;E ORANGE RD;Plastic Smooth;Poor;18;18;40;Round
-72.293725128;43.757978421;BRADLEY HILL RD;Plastic Corrugated;Good;15;15;35;Round
-72.748884943;43.075008341;HOWARD RD;Plastic Smooth;Urgent;18;18;40;Round
-72.644915534;43.787146715;OLD ROUTE 12;Steel Corrugated;Fair;12;12;18;Round
-73.092419;43.793834;MAPLE ST;Unknown;Unknown;0;0;0;Drop Inlet
-72.463764135;44.351978672;JACK HILL RD;Plastic Corrugated;Fair;18;18;30;Round
-72.667546413;43.805923497;PEAVINE BLVD;Steel Corrugated;Fair;48;72;40;Ellipse/Squashed
-72.965845;44.165953;JERUSALEM RD;Steel Corrugated;Fair;18;18;40;Round
-72.589480619;43.853140482;MORSE RD;Plastic Corrugated;Good;15;15;30;Round
-73.309983399;43.713347631;STAGE RD;Plastic Corrugated;Good;18;18;40;Round
-72.885312471;44.659408572;PUMPKIN HARBOR RD;Plastic Corrugated;Poor;15;15;28;Round
-72.401267751;44.406971471;E HILL RD;Steel Corrugated;Fair;24;24;40;Round
-72.499698143;43.734533493;HOWE HILL RD;Steel Corrugated;Good;15;15;40;Round
-72.387706015;44.859128038;LOOP RD;Steel Corrugated;Poor;12;12;35;Round
-72.431566636;44.252347707;MIDDLE RD;Concrete Poured;Fair;87;87;44;Box
-73.247911023;42.921397006;PARK ST;Other;Unknown;24;24;31;Round
-73.185965;43.74594;DELANCEY RD;Steel Corrugated;Critical;0;0;30;Round
-72.519783909;43.623936759;THE GREEN;Plastic Corrugated;Good;12;12;12;Drop Inlet
-73.130824;43.587924;BIRDSEYE RD;Steel Corrugated;Good;18;30;33;Ellipse/Squashed
-73.329957497;43.961997788;CROWN POINT RD;Steel Corrugated;Fair;75;71;41;Ellipse/Squashed
-72.334859838;44.344983189;FOLSOM HILL RD;Steel Corrugated;Poor;15;15;30;Round
-72.539971448;43.517274334;CAPER HILL RD;Plastic Corrugated;Good;15;15;40;Round
-73.229871497;42.77107492;LADD RD;Steel Corrugated;Fair;18;18;46;Round
-72.521507558;43.620624032;SWAIN ST;Steel Corrugated;Good;8;8;8;Drop Inlet
-72.304152367;43.819940333;GOVE HILL RD;Steel Corrugated;Fair;18;18;40;Round
-72.902312884;43.606925575;WHEELERVILLE RD;Steel Corrugated;Excellent;15;15;26;Ellipse/Squashed
-73.183871423;44.170185362;CLARK WOODS RD;Plastic Corrugated;Good;24;24;40;Round
-72.249858484;44.772461886;BUTLER RD;"Pipe, Plastic";Fair;12;12;20;Round
-72.865536314;43.932147017;TUCKER BROOK RD;Plastic Smooth;Good;15;15;40;Round
-72.265497933;44.032803408;TAPLIN HILL RD;Plastic Smooth;Good;24;24;60;Round
-72.6870164;43.814468136;RINDGE HILL RD;Steel Corrugated;Fair;18;18;30;Round
-72.531605713;43.12484388;MINARD RD;Steel Corrugated;Fair;15;15;31;Unknown
-72.224540965;44.395900843;YOUNG FARM RD;Plastic Corrugated;Excellent;18;18;40;Round
-72.136766153;44.744727425;REYNOLDS LN;Steel Corrugated;Excellent;12;12;24;Round
-72.515487857;44.034174012;WILLIAMSTOWN RD;Steel Corrugated;Fair;15;15;30;Round
-72.81338263;43.303600877;TROUT CLUB RD;Plastic Smooth;Fair;24;24;24;Round
-72.675515823;43.794202926;RIVER RD;Steel Corrugated;Good;18;18;40;Round
-72.09248136;44.586769705;VERTICAL MILE RD;Steel Corrugated;Poor;15;15;48;Round
-72.578893739;44.063023106;TWIN POND RD;"Pipe, Metal";Fair;16;16;35;Unknown
-72.615493015;43.334622337;NEWTON RD;Steel Corrugated;Critical;15;15;20;Round
-73.055507999;42.757347086;EAST RD;Plastic Corrugated;Excellent;15;15;35;Round
-73.012462557;44.457304058;BARBER FARM RD;Steel Corrugated;Good;24;24;50;Round
-73.193869;43.337293;RUPERT HILL RD;Steel Corrugated;Critical;18;18;40;Round
-72.544999746;43.520645189;CAPER HILL RD;Steel Corrugated;Good;36;36;50;Round
-72.639151596;42.926918036;HOPKINS RD;Unknown;Unknown;0;0;0;Unknown
-73.386179;43.648676;MAIN RD;Steel Corrugated;Excellent;18;18;40;Round
-72.158769553;44.346983757;OLD COUNTY RD;Steel Corrugated;Poor;12;12;40;Round
-72.112599917;44.30624562;ROY MTN RD;Plastic Corrugated;Excellent;18;18;50;Round
-72.161918848;44.786237905;BAIRD RD;Steel Corrugated;Excellent;30;30;36;Round
-72.366861061;43.771047971;CHAPEL HILL RD;Steel Corrugated;Poor;24;24;40;Round
-72.113387776;44.234158852;N BAYLEY HAZEN RD;Steel Corrugated;Fair;12;12;20;Round
-72.423944318;43.961722315;JENKINS BROOK RD;Plastic Corrugated;Good;18;18;40;Round
-72.893970166;42.891681066;HAYSTACK RD;Plastic Smooth;Excellent;15;15;35;Round
-72.391760021;44.94931007;RIVER RD;Steel Corrugated;Good;36;36;40;Round
-72.039220064;44.478146972;OLD BRADLEY RD;Steel Corrugated;Good;20;20;22;Round
-72.269794931;44.05977414;HOOTS PL;Plastic Smooth;Good;18;18;50;Round
-72.796061604;43.678906374;THUNDERING BROOK RD;Steel Corrugated;Fair;15;15;30;Round
-72.967618704;44.507528155;KRISTE LN;Steel Corrugated;Fair;15;15;30;Round
-72.614243507;43.585498478;LARRY CURTIS RD;Steel Corrugated;Fair;15;15;25;Round
-72.585166117;43.411916088;EAST RD;Steel Corrugated;Fair;15;15;40;Round
-72.176527934;44.415332392;MCCOSCO RD;Steel Corrugated;Excellent;12;12;27;Round
-72.374505463;44.359405089;CALAIS RD;Plastic Corrugated;Good;18;18;45;Round
